transcript_id	gene_id
g100.t1	g100
g10000.t1	g10000
g10002.t1	g10002
g10006.t1	g10006
g10007.t1	g10007
g10008.t1	g10008
g10009.t1	g10009
g1001.t1	g1001
g10010.t1	g10010
g10011.t1	g10011
g10012.t1	g10012
g10013.t1	g10013
g10014.t1	g10014
g10015.t1	g10015
g10015.t2	g10015
g10016.t1	g10016
g10017.t1	g10017
g10018.t1	g10018
g1002.t1	g1002
g10020.t1	g10020
g10021.t1	g10021
g10022.t1	g10022
g10023.t1	g10023
g10026.t1	g10026
g10027.t1	g10027
g1003.t1	g1003
g1004.t1	g1004
g10040.t1	g10040
g10041.t1	g10041
g10043.t1	g10043
g10048.t1	g10048
g1005.t1	g1005
g10052.t1	g10052
g10052.t2	g10052
g10053.t1	g10053
g10054.t1	g10054
g10055.t1	g10055
g10058.t1	g10058
g10058.t2	g10058
g1006.t1	g1006
g10061.t1	g10061
g10067.t1	g10067
g10067.t2	g10067
g10068.t1	g10068
g1007.t1	g1007
g10071.t1	g10071
g10073.t1	g10073
g10074.t1	g10074
g10075.t1	g10075
g1008.t1	g1008
g10088.t1	g10088
g10088.t2	g10088
g10089.t1	g10089
g1009.t1	g1009
g10090.t1	g10090
g10090.t2	g10090
g10094.t1	g10094
g10095.t1	g10095
g10096.t1	g10096
g10097.t1	g10097
g10097.t2	g10097
g10097.t3	g10097
g10097.t4	g10097
g10097.t5	g10097
g101.t1	g101
g101.t2	g101
g1010.t1	g1010
g10103.t1	g10103
g10105.t1	g10105
g10106.t1	g10106
g10106.t2	g10106
g10107.t1	g10107
g10108.t1	g10108
g10109.t1	g10109
g1011.t1	g1011
g10110.t1	g10110
g10111.t1	g10111
g10112.t1	g10112
g10113.t1	g10113
g10114.t1	g10114
g10114.t2	g10114
g10116.t1	g10116
g10118.t1	g10118
g1012.t1	g1012
g10122.t1	g10122
g10123.t1	g10123
g10123.t2	g10123
g10124.t1	g10124
g10125.t1	g10125
g10126.t1	g10126
g10126.t2	g10126
g10127.t1	g10127
g10128.t1	g10128
g10129.t1	g10129
g1013.t1	g1013
g1013.t2	g1013
g10130.t1	g10130
g10131.t1	g10131
g10131.t2	g10131
g10132.t1	g10132
g10135.t1	g10135
g10136.t1	g10136
g10136.t2	g10136
g10137.t1	g10137
g10139.t1	g10139
g1014.t1	g1014
g10144.t1	g10144
g10145.t1	g10145
g10145.t2	g10145
g10145.t3	g10145
g10147.t1	g10147
g10148.t1	g10148
g10149.t1	g10149
g1015.t1	g1015
g10150.t1	g10150
g10151.t1	g10151
g10153.t1	g10153
g1016.t1	g1016
g10162.t1	g10162
g10162.t2	g10162
g10162.t3	g10162
g10163.t1	g10163
g10163.t2	g10163
g10163.t3	g10163
g10164.t1	g10164
g1017.t1	g1017
g10172.t1	g10172
g10176.t1	g10176
g10176.t2	g10176
g1018.t1	g1018
g1018.t2	g1018
g10182.t1	g10182
g10183.t1	g10183
g10184.t1	g10184
g10185.t1	g10185
g10186.t1	g10186
g10188.t1	g10188
g10189.t1	g10189
g10189.t2	g10189
g10190.t1	g10190
g10191.t1	g10191
g10191.t2	g10191
g102.t1	g102
g10201.t1	g10201
g10203.t1	g10203
g10205.t1	g10205
g10208.t1	g10208
g10209.t1	g10209
g10213.t1	g10213
g10213.t2	g10213
g10215.t1	g10215
g10216.t1	g10216
g10217.t1	g10217
g10219.t1	g10219
g10220.t1	g10220
g10221.t1	g10221
g10221.t2	g10221
g10222.t1	g10222
g10223.t1	g10223
g10224.t1	g10224
g10225.t1	g10225
g10226.t1	g10226
g10227.t1	g10227
g10228.t1	g10228
g10232.t1	g10232
g10233.t1	g10233
g10235.t1	g10235
g10236.t1	g10236
g10237.t1	g10237
g10237.t2	g10237
g10238.t1	g10238
g10239.t1	g10239
g10241.t1	g10241
g10255.t1	g10255
g10255.t2	g10255
g10256.t1	g10256
g10257.t1	g10257
g10258.t1	g10258
g10260.t1	g10260
g10261.t1	g10261
g10262.t1	g10262
g10263.t1	g10263
g10264.t1	g10264
g10265.t1	g10265
g10266.t1	g10266
g10269.t1	g10269
g10270.t1	g10270
g10271.t1	g10271
g10279.t1	g10279
g10280.t1	g10280
g10281.t1	g10281
g10282.t1	g10282
g10282.t2	g10282
g10283.t1	g10283
g10283.t2	g10283
g10284.t1	g10284
g10284.t2	g10284
g10284.t3	g10284
g10284.t4	g10284
g10284.t5	g10284
g10284.t6	g10284
g10285.t1	g10285
g10285.t2	g10285
g10287.t1	g10287
g10287.t2	g10287
g10287.t3	g10287
g10287.t4	g10287
g10294.t1	g10294
g10294.t2	g10294
g10295.t1	g10295
g10295.t2	g10295
g10296.t1	g10296
g10297.t1	g10297
g10298.t1	g10298
g10299.t1	g10299
g103.t1	g103
g10303.t1	g10303
g10307.t1	g10307
g10308.t1	g10308
g10310.t1	g10310
g10311.t1	g10311
g10312.t1	g10312
g10313.t1	g10313
g10315.t1	g10315
g10316.t1	g10316
g10317.t1	g10317
g10319.t1	g10319
g10321.t1	g10321
g10322.t1	g10322
g10323.t1	g10323
g10324.t1	g10324
g10325.t1	g10325
g10326.t1	g10326
g10327.t1	g10327
g10328.t1	g10328
g10332.t1	g10332
g10333.t1	g10333
g10339.t1	g10339
g10341.t1	g10341
g10343.t1	g10343
g10344.t1	g10344
g10345.t1	g10345
g10347.t1	g10347
g10350.t1	g10350
g10351.t1	g10351
g10351.t2	g10351
g10354.t1	g10354
g10355.t1	g10355
g10356.t1	g10356
g10357.t1	g10357
g10357.t2	g10357
g10358.t1	g10358
g10359.t1	g10359
g10360.t1	g10360
g10361.t1	g10361
g10362.t1	g10362
g10363.t1	g10363
g10368.t1	g10368
g10368.t2	g10368
g10368.t3	g10368
g10368.t4	g10368
g10372.t1	g10372
g10374.t1	g10374
g10375.t1	g10375
g10376.t1	g10376
g10379.t1	g10379
g1038.t1	g1038
g10381.t1	g10381
g10382.t1	g10382
g10382.t2	g10382
g10382.t3	g10382
g10384.t1	g10384
g10384.t2	g10384
g10386.t1	g10386
g10389.t1	g10389
g1039.t1	g1039
g10391.t1	g10391
g10392.t1	g10392
g10392.t2	g10392
g10393.t1	g10393
g10395.t1	g10395
